NAME,POSITION,TEAM,SALARY
Duje Dukan, PF,Sacramento Kings,"$874,636.00 "
Grant Jerrett, PF,Portland Trail Blazers,"$874,636.00 "
Travis Wear, SF,Los Angeles Lakers,"$874,636.00 "
John Holland, SG,Cleveland Cavaliers,"$874,636.00 "
R.J. Hunter, SG,Chicago Bulls,"$864,346.00 "
Cameron Oliver, PF,Houston Rockets,"$815,615.00 "
Zhou Qi, PF,Houston Rockets,"$815,615.00 "
Sterling Brown, G,Milwaukee Bucks,"$815,615.00 "
Dwayne Bacon, SG,Charlotte Hornets,"$815,615.00 "
Brandon Paul, SG,San Antonio Spurs,"$815,615.00 "
Davon Reed, SG,Phoenix Suns,"$815,615.00 "
Maximilian Kleber, F,Dallas Mavericks,"$815,615.00 "
Daniel Theis, PF,Boston Celtics,"$815,615.00 "
Tyler Dorsey, SG,Atlanta Hawks,"$815,615.00 "
Matt Costello, SF,San Antonio Spurs,"$543,471.00 "
Vince Hunter, SF,Memphis Grizzlies,"$543,471.00 "
Scott Wood, SG,Golden State Warriors,"$543,471.00 "
Egidijus Mockevicius, PF,Brooklyn Nets,"$543,471.00 "
Rasheed Sulaimon, G,Charlotte Hornets,"$543,471.00 "
